Gr>G	regulates
_CbG	inverse_binds
GpCC	participates
GiG	interacts
PCiC	includes
_CcSE	inverse_causes
GpBP	participates
AuG	upregulates
CpD	palliates
DrD	resembles
_DuG	inverse_upregulates
DuG	upregulates
_PCiC	inverse_includes
DpS	presents
AdG	downregulates
AeG	expresses
_AuG	inverse_upregulates
_DlA	inverse_localizes
_DdG	inverse_downregulates
_CdG	inverse_downregulates
_DrD	resembles
DlA	localizes
_GiG	inverse_interacts
GpMF	participates
CcSE	causes
_GpBP	inverse_participates
CrC	resembles
CuG	upregulates
CtD	treats
_Gr>G	inverse_regulates
_CuG	inverse_upregulates
_GpPW	inverse_participates
_AeG	inverse_expresses
_CrC	resembles
CdG	downregulates
CbG	binds
GcG	covaries
_CpD	inverse_palliates
_DpS	inverse_presents
_DaG	inverse_associates
_GpCC	inverse_participates
DaG	associates
DdG	downregulates
_GcG	inverse_covaries
_AdG	inverse_downregulates
_CtD	inverse_treats
GpPW	participates
_GpMF	inverse_participates
