GawP	acts_within
GccD	causes_condition
CdaA	decrease_activity
ChaA	has_activity
CiaA	increase_activity
CdeE	decrease_effect
CheE	has_effect
CieE	increase_effect
AscoA	sub_class_of
ChcA	has_code
CiaG	is_affecting
CtD	is_substance_that_treats
ChtT	has_target
DhpP	has_phenotype
TgpG	gene_product_of
ChiI	has_indication
CieC	increase_efficacy
CdeC	decrease_efficacy
CseSE	has_side_effect
_GawP	inverse_acts_within
_GccD	inverse_causes_condition
_CdaA	inverse_decrease_activity
_ChaA	inverse_has_activity
_CiaA	inverse_increase_activity
_CdeE	inverse_decrease_effect
_CheE	inverse_has_effect
_CieE	inverse_increase_effect
_AscoA	inverse_sub_class_of
_ChcA	inverse_has_code
_CiaG	inverse_is_affecting
_CtD	inverse_is_substance_that_treats
_ChtT	inverse_has_target
_DhpP	inverse_has_phenotype
_TgpG	inverse_gene_product_of
_ChiI	inverse_has_indication
_CieC	inverse_increase_efficacy
_CdeC	inverse_decrease_efficacy
_CseSE	inverse_has_side_effect
